Country,SUM of Total.Fatal.Injuries,SUM of Injury_Count,,"fatal incidents for the ""United States,"""
Afghanistan,128,142,,30190
Albania,0,0,,"total incidents for the ""United States,"""
Algeria,107,108,,72231
American Samoa,19,64,,
Angola,27,29,,
Anguilla,0,0,,
Antarctica,2,9,,
Antigua And Barbuda,4,4,,
Argentina,245,304,,
Aruba,0,1,,
ATLANTIC OCEAN,267,557,,
Australia,284,395,,
Austria,53,100,,
AY,0,0,,
Bahamas,191,348,,
Bahrain,148,148,,
Bangladesh,0,8,,
Barbados,14,18,,
Belarus,2,2,,
Belgium,21,26,,
Belize,16,24,,
Benin,141,166,,
Bermuda,0,51,,
BLOCK 651A,1,1,,
Bolivia,116,203,,
Bosnia And Herzegovina,10,10,,
Botswana,1,6,,
Brazil,1243,1444,,
British Virgin Islands,0,1,,
Bulgaria,1,1,,
Cambodia,2,2,,
Cameroon,186,191,,
Canada,946,1610,,
CARIBBEAN SEA,5,30,,
Cayenne,2,5,,
Cayman Islands,2,14,,
Central Africa,137,185,,
Central African Republic,25,27,,
Chad,0,1,,
Chile,98,132,,
China,486,809,,
Colombia,704,937,,
Congo,4,4,,
Corsica,2,2,,
Costa Rica,39,109,,
Cote D'ivoire,176,186,,
Croatia,43,45,,
Cuba,120,130,,
Cyprus,0,0,,
Czech Republic,17,17,,
C���te d'Ivoire,5,8,,
Denmark,15,20,,
Dominica,15,15,,
Dominican Republic,273,342,,
Ecuador,77,176,,
Egypt,296,296,,
El Salvador,87,87,,
Eritrea,0,1,,
Estonia,16,22,,
Eswatini,56,84,,
Ethiopia,284,331,,
Federated States Of Micronesia,1,1,,
Fiji,7,8,,
Finland,16,25,,
France,813,918,,
French Guiana,1,1,,
French Polynesia,20,20,,
Gabon,5,5,,
Gambia,8,11,,
Georgia,2,5,,
Germany,327,387,,
Ghana,0,8,,
Gibraltar,0,0,,
Great Britain,0,0,,
Greece,140,152,,
Greenland,8,10,,
Guadeloupe,21,28,,
Guam,1,1,,
Guatemala,216,325,,
Guernsey,0,1,,
Guinea,0,6,,
GULF OF MEXICO,23,49,,
Guyana,14,47,,
Haiti,68,96,,
HIGH ISLAND,7,13,,
Honduras,173,213,,
Hong Kong,1,1,,
Hungary,12,14,,
Iceland,18,32,,
India,970,1036,,
Indonesia,949,1238,,
Iran,187,196,,
Iraq,16,21,,
Ireland,42,83,,
Isle of Man,2,2,,
Israel,8,14,,
Italy,363,483,,
Ivory Coast,0,0,,
Jamaica,8,10,,
Japan,88,220,,
Jordan,0,0,,
Kazakhstan,29,30,,
Kenya,73,102,,
"Korea, Republic Of",149,187,,
Kyrgyzstan,69,94,,
Latvia,9,12,,
Lebanon,90,90,,
Liberia,6,6,,
Libya,103,104,,
Lithuania,5,5,,
Luxembourg,0,0,,
Macao,4,4,,
Madagascar,6,6,,
Malampa,1,3,,
Malawi,14,14,,
Malaysia,261,281,,
Maldives,10,10,,
Mali,4,5,,
Malta,5,5,,
Marshall Islands,1,1,,
Martinique,0,1,,
Mauritania,1,1,,
Mauritius,3,3,,
Mexico,653,906,,
Micronesia,1,16,,
MISSING,46,46,,
Montserrat,1,1,,
Morocco,9,9,,
Mozambique,5,6,,
MU,0,0,,
Namibia,53,58,,
Nauru,0,0,,
Nepal,84,92,,
Netherlands,27,119,,
Netherlands Antilles,2,6,,
New Caledonia,4,4,,
New Zealand,63,80,,
Nicaragua,16,16,,
Niger,0,10,,
Nigeria,481,508,,
Niue,4,6,,
Northern Mariana Islands,5,16,,
Norway,34,47,,
Obyan,0,2,,
PACIFIC OCEAN,22,255,,
Pakistan,406,415,,
Palau,0,0,,
Panama,131,176,,
Papua New Guinea,57,72,,
Paraguay,9,14,,
Peru,490,597,,
Philippines,291,317,,
Poland,48,58,,
Portugal,238,430,,
Puerto Rico,22,172,,
Qatar,1,1,,
Republic of North Macedonia,10,10,,
Reunion,2,2,,
Romania,20,24,,
Russia,765,867,,
Rwanda,0,0,,
Saint Barthelemy,31,41,,
Saint Pierre and Miquelon,2,2,,
Saint Vincent and the Grenadines,1,1,,
San Juan Islands,0,2,,
Saudi Arabia,19,37,,
Scotland,1,2,,
Senegal,30,62,,
Serbia,3,5,,
Seychelles,0,0,,
Sierra Leone,0,0,,
Singapore,7,7,,
Sint Maarten,3,13,,
Slovakia,3,5,,
Slovenia,8,8,,
Solomon Islands,2,3,,
Somalia,0,0,,
South Africa,122,157,,
South Korea,16,48,,
South Korean,4,5,,
South Sudan,52,52,,
Spain,375,671,,
St Kitts And Nevis,0,0,,
St Lucia,5,5,,
St Vincent And The Grenadines,0,0,,
Sudan,115,116,,
Suriname,175,179,,
Sweden,48,66,,
Switzerland,86,90,,
Taiwan,433,548,,
Tanzania,43,66,,
Thailand,96,126,,
Tokelau,14,14,,
Trinidad And Tobago,0,0,,
Tunisia,15,51,,
Turkey,224,441,,
Turks And Caicos,23,28,,
Turks And Caicos Islands,8,10,,
Uganda,35,40,,
Ukraine,313,317,,
UN,5,21,,
United Arab Emirates,0,0,,
United Kingdom,467,543,,
United States,30190,72231,,
Unknown,190,420,,
Uruguay,96,101,,
Venezuela,381,487,,
Vietnam,0,0,,
Virgin Islands,1,1,,
Wallis and Futuna,0,0,,
West Indies,4,22,,
Wolseley,1,1,,
Yemen,0,0,,
Zambia,11,11,,
Zimbabwe,6,10,,
Grand Total,50201,99056,,